book_name,author,price,rank_number,book_type,star_rank
自在独行:贾平凹的独行世界,贾平凹,￥21.50,"
      1.
    ",平装,平均4.5 星
解忧杂货店,东野圭吾,￥27.30,"
      2.
    ",精装,平均4.5 星
人类简史:从动物到上帝(两种封面随机发货),尤瓦尔·赫拉利,￥37.20,"
      3.
    ",平装,平均4.5 星
活着本来单纯:丰子恺散文漫画精品集(收藏本),丰子恺,￥30.90,"
      4.
    ",精装,平均4.5 星
长安十二时辰(套装共2册),马伯庸,￥55.70,"
      5.
    ",平装,平均4.5 星
直到那一天,米歇尔·普西,￥26.80,"
      6.
    ",平装,平均4.5 星
"极简:在你拥有的一切之下,发现你想要的生活",乔舒亚•贝克尔 (Joshua Becker),￥24.70,"
      7.
    ",平装,平均4.5 星
我们仨,杨绛,￥12.00,"
      8.
    ",平装,平均4.5 星
你的善良必须有点锋芒,慕颜歌,￥20.50,"
      9.
    ",平装,平均4.5 星
"这么慢,那么美",罗敷,￥24.40,"
      10.
    ",平装,平均4.5 星
岛上书店,加·泽文,￥24.20,"
      11.
    ",平装,平均4.5 星
追风筝的人,卡勒德•胡赛尼 (Khaled Hosseini),￥14.50,"
      12.
    ",平装,平均4.5 星
巨婴国,武志红,￥41.70,"
      13.
    ",平装,平均4.5 星
"世界知名企业员工指定培训教材:所谓情商高,就是会说话",佐佐木圭一,￥20.30,"
      14.
    ",平装,平均4.5 星
"你心柔软,却有力量",林清玄,￥26.90,"
      15.
    ",平装,平均4.5 星
宝宝第一套好性格养成书:皮特猫(套装共6册),艾瑞克·利温 (Eric Litwin),￥62.80,"
      16.
    ",平装,平均4.5 星
窗边的小豆豆,黑柳彻子,￥15.60,"
      17.
    ",平装,平均4.5 星
白夜行:东野圭吾作品02,东野圭吾,￥23.70,"
      18.
    ",精装,平均4.5 星
自控力(斯坦福大学很受欢迎的心理学课程),凯利•麦格尼格尔 (Kelly McGonigal P ,￥22.70,"
      19.
    ",平装,平均4.5 星
考拉小巫的英语学习日记:写给为梦想而奋斗的人(全新修订版),考拉小巫,￥23.90,"
      20.
    ",平装,平均4.5 星
诺贝尔文学奖经典:局外人(修订典藏版),加缪,￥22.80,"
      21.
    ",平装,平均4.2 星
夏洛的网,E·B·怀特 (White E.B.),￥16.10,"
      22.
    ",平装,平均4.2 星
精进:如何成为一个很厉害的人(附封面涂色卡),采铜,￥26.10,"
      23.
    ",平装,平均4.2 星
摆渡人,克莱儿·麦克福尔 (Claire McFall),￥22.80,"
      24.
    ",平装,平均4.2 星
"百年孤独(根据马尔克斯指定版本翻译,未做任何增删)",加西亚•马尔克斯,￥27.30,"
      25.
    ",精装,平均4.2 星
当你的才华还撑不起你的梦想时,特立独行的猫,￥23.00,"
      26.
    ",平装,平均4.2 星
平凡的世界(套装共3册),路遥,￥49.40,"
      27.
    ",平装,平均4.2 星
虚无的十字架,东野圭吾（Keigo Higashino）,￥27.40,"
      28.
    ",精装,平均4.2 星
枪炮、病菌与钢铁:人类社会的命运(修订版),贾雷德•戴蒙德 (Jared  Diamond),￥41.50,"
      29.
    ",平装,平均4.2 星
你的团队需要一个会讲故事的人,安妮特·西蒙斯 (Annette Simmons),￥24.80,"
      30.
    ",平装,平均4.2 星
"
                ",中公教育教师资格考试研究院,￥78.80,"
      31.
    ",平装,平均4.2 星
未来简史:从智人到神人,尤瓦尔•赫拉利,￥68.00,"
      32.
    ",平装,平均4.2 星
苏东坡传(纪念典藏版),林语堂,￥19.30,"
      33.
    ",精装,平均4.2 星
一个人的朝圣,蕾秋•乔伊斯 (Rachel Joyce),￥23.40,"
      34.
    ",平装,平均4.2 星
愿人生从容,贾平凹,￥28.40,"
      35.
    ",平装,平均4.2 星
目送:龙应台人生三书之三(彩插新版),龙应台,￥29.60,"
      36.
    ",平装,平均4.2 星
红岩,罗广斌,￥19.10,"
      37.
    ",平装,平均4.2 星
且以优雅过一生:杨绛传,桑妮,￥22.00,"
      38.
    ",平装,平均4.2 星
经典译林:海底两万里,儒尔•凡尔纳 (Jules Verne),￥16.90,"
      39.
    ",精装,平均4.2 星
拉普拉斯的魔女,东野圭吾,￥28.60,"
      40.
    ",平装,平均4.2 星
骆驼祥子,老舍,￥16.20,"
      41.
    ",平装,平均4.6 星
哈利•波特与被诅咒的孩子,J.K.罗琳,￥45.00,"
      42.
    ",精装,平均4.6 星
"北欧,冰与火之地的寻真之旅",迈克尔•布斯 (Michael Booth),￥31.90,"
      43.
    ",平装,平均4.6 星
人间草木,汪曾祺,￥30.00,"
      44.
    ",精装,平均4.6 星
全景四季百科绘本:自然说,托马什·萨莫伊利克 (Tomasz Samojlik),￥63.80,"
      45.
    ",精装,平均4.6 星
不老泉文库003:时代广场的蟋蟀(纽伯瑞奖作品),乔治·塞尔登,￥8.30,"
      46.
    ",平装,平均4.6 星
信谊世界精选图画书:猜猜我有多爱你,山姆•麦克布雷尼,￥23.30,"
      47.
    ",精装,平均4.6 星
"不要让未来的你,讨厌现在的自己",特立独行的猫,￥20.50,"
      48.
    ",平装,平均4.6 星
儿童情绪与人格培养绘本:我要更勇敢(中英对照),芭芭拉凯因(Barbara Cain),￥9.40,"
      49.
    ",平装,平均4.6 星
哈佛谈判心理学:哈佛大学权威的谈判指南,艾莉卡·爱瑞儿·福克斯 (Erica Ariel Fox),￥34.10,"
      50.
    ",平装,平均4.6 星
逆向管理:先行动后思考,埃米尼亚·伊贝拉 (Herminia Ibarra),￥33.00,"
      51.
    ",精装,平均4.6 星
晓松奇谈(世界卷),高晓松,￥30.40,"
      52.
    ",平装,平均4.6 星
旅行与读书,詹宏志,￥36.80,"
      53.
    ",平装,平均4.6 星
"妈妈,我真的很生气:学会控制愤怒的情绪",吉娜·迪塔-多纳休 (Gina Ditta-Donahue),￥9.40,"
      54.
    ",平装,平均4.6 星
菊与刀(70周年纪念版),鲁思·本尼迪克特,￥24.80,"
      55.
    ",平装,平均4.6 星
小猪唏哩呼噜(彩色注音版)(套装上下册),孙幼军,￥35.30,"
      56.
    ",平装,平均4.6 星
查理九世27:九尾灵猫(进级版),雷欧幻像,￥8.70,"
      57.
    ",平装,平均4.6 星
丝绸之路:一部全新的世界史,彼得·弗兰科潘 (Peter Frankopan),￥79.30,"
      58.
    ",精装,平均4.6 星
孤独深处(收录雨果奖获奖作品《北京折叠》),郝景芳,￥21.90,"
      59.
    ",平装,平均4.6 星
小王子(65周年纪念版),圣埃克絮佩里 (Saint-Exupery),￥13.00,"
      60.
    ",精装,平均4.6 星
我的职业是小说家（村上春树新作）,村上春树,￥35.40,"
      61.
    ",精装,平均4.9 星
月亮与六便士,毛姆,￥23.90,"
      62.
    ",平装,平均4.9 星
活着,余华,￥10.00,"
      63.
    ",平装,平均4.9 星
撒哈拉的故事,三毛,￥16.40,"
      64.
    ",平装,平均4.9 星
没头脑和不高兴(注音版),任溶溶,￥7.80,"
      65.
    ",平装,平均4.9 星
浮生六记(全新精译本),沈复,￥18.70,"
      66.
    ",平装,平均4.9 星
围城,钱钟书,￥21.70,"
      67.
    ",平装,平均4.9 星
我是猫(通俗趣味版),夏目漱石,￥28.40,"
      68.
    ",平装,平均4.9 星
中小学生必读丛书:城南旧事,林海音,￥15.40,"
      69.
    ",平装,平均4.9 星
1年级大个子2年级小个子(注音版),古田足日,￥15.60,"
      70.
    ",平装,平均4.9 星
天才在左疯子在右(完整版),高铭,￥25.90,"
      71.
    ",平装,平均4.9 星
东野圭吾作品:嫌疑人X的献身,东野圭吾,￥24.20,"
      72.
    ",精装,平均4.9 星
草房子,曹文轩,￥11.70,"
      73.
    ",平装,平均4.9 星
北鸢,葛亮,￥35.50,"
      74.
    ",平装,平均4.9 星
中国通史“慢读”系列,吕思勉,￥27.70,"
      75.
    ",平装,平均4.9 星
苏菲的世界,乔斯坦•贾德 (Jostein Gaarder),￥16.90,"
      76.
    ",平装,平均4.9 星
哈利·波特与死亡圣器(纪念版),J.K.罗琳 (J.K.Rowling),￥48.50,"
      77.
    ",平装,平均4.9 星
西方经典美术技法译丛:素描的诀窍(15周年畅销版),伯特•多德森,￥21.50,"
      78.
    ",平装,平均4.9 星
刻意练习:如何从新手到大师,安德斯·艾利克森 (Anders Ericsson),￥29.60,"
      79.
    ",平装,平均4.9 星
写给大家的西方美术史,蒋勋,￥40.10,"
      80.
    ",平装,平均4.9 星
罗尔德•达尔作品典藏:了不起的狐狸爸爸,罗尔德•达尔,￥6.00,"
      81.
    ",平装,平均4.7 星
一生必读的世界十大名著•海底两万里(青少年版),创世卓越,￥11.50,"
      82.
    ",平装,平均4.7 星
经典译林:名人传,罗曼•罗兰 (Romain Rolland),￥13.65,"
      83.
    ",精装,平均4.7 星
全球通史:从史前史到21世纪(第7版修订版)(中文版)(套装上下册),斯塔夫里阿诺斯 (Leften Stavros Sta ,￥68.00,"
      84.
    ",平装,平均4.7 星
博物学家的神秘动物图鉴,让-巴普蒂斯特•德•帕纳菲厄,￥114.60,"
      85.
    ",精装,平均4.7 星
容忍与自由,胡适,￥17.80,"
      86.
    ",平装,平均4.7 星
儿童情绪管理与性格培养绘本(第8辑):不怕被嘲笑,希瑟•朗扎克 (Heather Lonczak),￥9.40,"
      87.
    ",平装,平均4.7 星
无声告白,伍绮诗,￥24.10,"
      88.
    ",平装,平均4.7 星
发现的乐趣:费曼演讲、访谈集,理查德•费曼 (Richard P. Feynman),￥27.30,"
      89.
    ",平装,平均4.7 星
文化苦旅(新版)(两种封面 随机发货),余秋雨,￥28.50,"
      90.
    ",平装,平均4.7 星
三毛流浪记全集(彩图注音读物),张乐平,￥18.90,"
      91.
    ",平装,平均4.7 星
语文新课标必读丛书:骆驼祥子,老舍,￥10.40,"
      92.
    ",平装,平均4.7 星
绿野仙踪(160周年珍藏版),莱曼·弗兰克·鲍姆 (L.Frank Baum),￥33.32,"
      93.
    ",精装,平均4.7 星
经典译林:格列佛游记,乔纳森•斯威夫特 (Jonathan Swift),￥12.10,"
      94.
    ",精装,平均4.7 星
了不起的盖茨比,菲茨杰拉德,￥21.00,"
      95.
    ",平装,平均4.7 星
马尔克斯：霍乱时期的爱情（2015版）,加西亚·马尔克斯,￥36.00,"
      96.
    ",精装,平均4.7 星
乌合之众:大众心理研究,古斯塔夫•勒庞 (Gustave Le Bon),￥16.60,"
      97.
    ",平装,平均4.7 星
如何阅读一本书,莫提默·J·艾德勒,￥27.30,"
      98.
    ",平装,平均4.7 星
中小学生必读丛书:骆驼祥子,老舍,￥15.40,"
      99.
    ",平装,平均4.7 星
活了100万次的猫,佐野洋子,￥17.70,"
      100.
    ",精装,平均4.7 星
